trial,score,rsi_buy_min,rsi_buy_max,pullback_volume_min,require_pullback_macd_rising,trend_rsi_min,trend_rsi_max,trend_volume_min,breakout_lookback,ml_probability_min,stop_loss_pct,pullback_take_profit_pct,trend_trailing_stop_pct,cooldown_bars,minimum_hold_bars,max_hold_bars,pullback_rsi_sell,trend_macd_down_bars,require_positive_long_trend,block_high_volatility,atr_percentile_limit,fold_1_return,fold_2_return,fold_3_return,fold_4_return
0,-125.0,33.614422733489334,63.767857660247905,0.9982177084203147,True,58.24791518535967,75.6780344034354,1.4130144947537078,24,0.7081106602001055,0.008185086660174142,0.01381839895062722,0.008668090197068677,5,5,74,64.40704108435692,4,False,False,0.9305904711203932,0.0,0.0,0.0,0.0
1,-125.0,29.592496989642274,52.855860960340294,1.4271676093063665,True,56.293803964068594,66.74320660351997,1.4667755992146665,6,0.6710582566280392,0.011602287406094019,0.011905223515032922,0.014903538202225404,2,8,49,72.5754902557876,3,False,False,0.9282805493730564,0.0,0.0,0.0,0.0
2,-125.0,46.60847565597635,63.38123260378169,0.9340678769493235,True,56.37059970335519,80.74998776036986,1.0614647149961218,18,0.5702336274218451,0.013140441247373728,0.012509575199192404,0.021043939615080793,2,8,123,62.37174499375179,2,True,False,0.7670302698988408,0.0,0.0,0.0,0.0
3,-125.0,33.24471175651827,42.896726488128245,1.1643531236100166,False,60.08344796225831,76.75760877928094,1.0613691593173855,18,0.5298985614845755,0.015698671808344923,0.03234512155574072,0.016225543951389924,10,5,87,67.40590240388809,2,True,True,0.8669712589678816,0.0,0.0,0.0,0.0
4,-125.0,45.87402890030014,52.89410818293465,1.0673582572170413,False,53.74536092249882,78.08881821668878,0.9547938367151029,6,0.7009180192247786,0.0077985508832905375,0.03656188795167929,0.015786844838313014,10,8,58,60.42114233960889,2,False,True,0.8674718795928401,0.0,0.0,0.0,0.0
5,-125.0,34.600453072421914,45.55269526176826,1.7457642187168934,False,49.67811514267156,71.40184274245804,1.3069623232818657,12,0.6243121264730964,0.009513174647251545,0.017114895820078965,0.005737738947090656,8,5,19,64.13022221320546,5,True,False,0.805672712447645,0.0,0.0,0.0,0.0
6,-123.7529562811842,40.45911759033521,59.86507616502524,1.1993939760832906,False,51.32692561589359,77.65146157778975,1.1982535446485931,12,0.510193785388691,0.013863394147823626,0.02968205957895304,0.005331756578557123,7,3,105,61.83606143810981,4,False,False,0.7760989098853355,-0.013654477899993633,0.0,0.0,0.0
7,-125.0,46.267953220406945,63.07029696937446,1.6263610901911552,True,51.61118278801218,76.55974473654686,1.0072039890852935,18,0.5847574477621752,0.010238143619189913,0.03123058172384766,0.022942205199051543,11,7,105,59.85107922989108,2,True,False,0.9026054068948528,0.0,0.0,0.0,0.0
8,-125.0,25.11641642846303,44.020201285437466,1.4693631965274705,False,55.682273051132206,77.07032316308309,1.00421190687292,24,0.6644032230750858,0.013524629050032076,0.01099759257049896,0.012354316061188671,4,3,153,66.64814994266872,5,False,False,0.8632790695783387,0.0,0.0,0.0,0.0
9,-125.0,29.490588719355024,58.06130288153763,1.4631986811118094,False,51.93081307417198,66.38905546290326,1.4700535750516819,24,0.6070460370793286,0.019499822285655045,0.03883583926685609,0.022060189109347202,5,4,135,64.9722841134381,2,False,True,0.7723505935672768,0.0,0.0,0.0,0.0
